  0.12500000000000000      ,   2.0516921495072909E-015
  0.11529933481152993      ,   3.3872879864394927E-015
  0.10714285714285714      ,   3.1685412671048053E-015
  0.10017889087656530      ,   3.0101145190015939E-015
   9.4155844155844159E-002 ,   3.5570392230522970E-015
   8.8888888888888892E-002 ,   3.1777050127049080E-015
   8.4239130434782608E-002 ,   6.1544972017264164E-016
   8.0100125156445559E-002 ,   3.3214982704180110E-015
   7.6388888888888881E-002 ,   3.8662488848289208E-015
   7.3039742212674535E-002 ,   2.1482277121378877E-002
   7.0000000000000007E-002 ,   4.7357673338410432E-015
   6.7226890756302518E-002 ,   4.4334284143014552E-015
   6.4685314685314688E-002 ,   4.0209790209794358E-002
   6.2346185397867099E-002 ,   3.9376538146026208E-002
   6.0185185185185182E-002 ,   5.4620231520138126E-015
   5.8181818181818182E-002 ,   5.8122395785175513E-015
   5.6318681318681320E-002 ,   1.9574175824182007E-002
   5.4580896686159841E-002 ,   1.8193632228725214E-002
   5.2955665024630540E-002 ,   6.5418387729329999E-015
   5.1431911163062533E-002 ,   6.5076848384398832E-015
   5.0000000000000003E-002 ,   5.0196883686718876E-015
   4.8651507139079855E-002 ,   6.0155183026490248E-015
   4.7379032258064516E-002 ,   7.6820270574869620E-016
   4.6176046176046176E-002 ,   6.1467585871311156E-015
   4.5036764705882353E-002 ,   4.2017043439307452E-015
   4.3956043956043953E-002 ,   7.2768165119957664E-015
   4.2929292929292928E-002 ,   6.7289982041339386E-015
   4.1952400161355388E-002 ,   6.1052861480031487E-015
   4.1021671826625389E-002 ,   8.0037455851110424E-015
   4.0133779264214048E-002 ,   8.8124435950610921E-003
   3.9285714285714285E-002 ,   8.3371405017780305E-015
   3.8474750944692548E-002 ,   1.4170870670665676E+023
   3.7698412698412696E-002 ,   9.3769789111596143E-015
   3.6954444090474672E-002 ,   9.2071760997268204E-015
   3.6240786240786242E-002 ,   8.7216611219510033E-015
   3.5555555555555556E-002 ,   9.2663983482286755E-015
   3.4897025171624713E-002 ,   9.5181935051673406E-015
   3.4263608731693838E-002 ,   1.0126559257713696E-014
   3.3653846153846152E-002 ,   1.0092117075556673E-014
   3.3066391113407388E-002 ,   9.5190654061762882E-015
   3.2500000000000001E-002 ,   9.2779117721875931E-015
   3.1953522149600580E-002 ,   1.1958050677046623E-014
   3.1425891181988741E-002 ,   1.1625680614146755E-014
   3.0916117299386224E-002 ,   7.3045053120962110E-015
   3.0423280423280422E-002 ,   1.0437662883716147E-014
   2.9946524064171122E-002 ,   8.4482391373745600E-015
   2.9485049833887042E-002 ,   1.2131307401966871E-014
   2.9038112522686024E-002 ,   8.2592175128155138E-015
   2.8605015673981191E-002 ,   1.2669245659535411E-014
   2.8185107598552656E-002 ,   1.2203869181218164E-014
   2.7777777777777776E-002 ,   9.8526947917216853E-015
   2.7382453611961809E-002 ,   1.3257554944967055E-014
   2.6998597475455820E-002 ,   1.1769999031819778E-014
   2.6625704045058884E-002 ,   7.4621236917116514E-015
   2.6263297872340427E-002 ,   7.7051249541471859E-016
   2.5910931174089068E-002 ,   4.2753036437253866E-002
   2.5568181818181816E-002 ,   1.1939243084640337E-014
   2.5234651484843822E-002 ,   1.4694098120659013E-014
   2.4909963985594238E-002 ,   1.1358727750559860E-014
   2.4593763724198508E-002 ,   4.0989606207007978E-002
   2.4285714285714285E-002 ,                       NaN
   2.3985497141263423E-002 ,   1.4923899362003321E-014
   2.3692810457516339E-002 ,   1.2931558511009463E-014
   2.3407368001063970E-002 ,   3.9366937092708436E-002
   2.3128898128898130E-002 ,   1.4191927836196145E-014
   2.2857142857142861E-002 ,                       NaN
   2.2591857000993046E-002 ,   1.5769907723266726E-014
   2.2332807379536350E-002 ,   3.7868673382694937E-002
   2.2079772079772079E-002 ,   1.4932130661209160E-014
   2.1832539774706769E-002 ,   3.7161769829296559E-002
   2.1590909090909091E-002 ,                       NaN
   2.1354688021354686E-002 ,   1.1862333555158155E-014
   2.1123693379790941E-002 ,   1.4198089084604247E-014
   2.0897750293208232E-002 ,                       NaN
   2.0676691729323307E-002 ,                       NaN
   2.0460358056265983E-002 ,   1.7954787983184579E-014
   2.0248596631916600E-002 ,   1.7012943669015230E-014
   2.0041261420571766E-002 ,   1.7054264692877658E-014
   1.9838212634822806E-002 ,                       NaN
   1.9639316400717588E-002 ,   1.7731113946977694E-014
   1.9444444444444445E-002 ,   1.0723514212057439E-003
   1.9253473798928347E-002 ,   1.8487557623502870E-014
   1.9066286528866716E-002 ,   1.7526093034279123E-014
   1.8882769472856019E-002 ,   1.7316955729424475E-014
   1.8702814001372685E-002 ,   3.7301184880230023E-006
   1.8526315789473682E-002 ,   1.8062220724937192E-014
   1.8353174603174600E-002 ,  -1.5873015873000263E-002
   1.8183294098546958E-002 ,   1.8033504265694191E-014
   1.8016581632653059E-002 ,   1.7168876864419298E-014
   1.7852948085506228E-002 ,  -6.0292850990317686E-003
   1.7692307692307695E-002 ,   1.6276211148089635E-014
   1.7534577885269444E-002 ,   1.7610011736526167E-014
   1.7379679144385027E-002 ,  -2.3649120967443135E-002
   1.7227534856558872E-002 ,  -6.7888167019391444E-003
   1.7078071182548796E-002 ,  -6.9603903558922578E-003
   1.6931216931216932E-002 ,   2.0512598086889995E-014
   1.6786903440621531E-002 ,   9.2686987694002972E-015
   1.6645064465516064E-002 ,  -7.4357050276186555E-003
   1.6505636070853463E-002 ,  -7.5818572195159835E-003
   1.6368556530922052E-002 ,  -7.7222625569129885E-003
   1.6233766233766232E-002 ,  -7.8571428571272105E-003
